,LEAP - 4026 (Parent Series),daily series test 1,International Reserves,Testing 9.7 (f),QC Team Testing: Case: 985.11
Region,Test,Test,Chile,Test,Test
Subnational,,,,,
Frequency,"Daily, ""5 observation""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""5 observation"""
Unit,%,Person,USD mn,Unit,NA
Source,CDM_Stress_Test_STP_QA_Akshata,test22_10,Central Bank of Chile,Test AC 9.7,QC_Test (Full Scale)
Status,Active,Active,Active,Active,Active
Series ID,366946997 (CDCC),352636197,114157808,383129097,379564047
SR Code,SR88307687,SR88086077,SR1393378,SR101306137,SR108100567
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,02/02/2015,01/12/2013,31/12/1995,28/10/2016,13/01/2003
Last Obs. Date,27/03/2015,18/12/2013,07/05/2019,06/12/2016,26/08/2016
Last Update Time,27/03/2015,12/02/2016,15/05/2019,10/10/2018,26/08/2016
Series remarks,,this is my remark,,,
Suggestions,,,,,
01/04/2003,,,,,195.87628866
02/04/2003,,,,,195.70446735
03/04/2003,,,,,195.53264605
04/04/2003,,,,,195.53264605
07/04/2003,,,16520.72636,,195.53264605
08/04/2003,,,,,195.53264605
09/04/2003,,,,,195.53264605
10/04/2003,,,,,195.36082474
11/04/2003,,,,,195.18900344
14/04/2003,,,,,195.18900344
15/04/2003,,,16125.71341,,195.01718213
16/04/2003,,,,,195.01718213
17/04/2003,,,,,195.01718213
18/04/2003,,,,,194.84536082
21/04/2003,,,,,195.01718213
22/04/2003,,,,,195.01718213
23/04/2003,,,16014.93023,,195.01718213
24/04/2003,,,,,195.01718213
25/04/2003,,,,,195.01718213
28/04/2003,,,,,195.01718213
29/04/2003,,,,,195.01718213
30/04/2003,,,15889.61203,,194.84536082
01/05/2003,,,,,194.84536082
02/05/2003,,,,,194.67353952
05/05/2003,,,,,194.50171821
06/05/2003,,,,,194.50171821
07/05/2003,,,15715.43772,,194.32989691
08/05/2003,,,,,194.32989691
09/05/2003,,,,,193.9862543
12/05/2003,,,,,194.1580756
13/05/2003,,,,,193.9862543
14/05/2003,,,,,193.9862543
15/05/2003,,,15653.85195,,193.9862543
16/05/2003,,,,,193.9862543
19/05/2003,,,,,193.9862543
20/05/2003,,,,,193.9862543
21/05/2003,,,,,193.9862543
22/05/2003,,,,,193.9862543
23/05/2003,,,15523.6577,,193.9862543
26/05/2003,,,,,193.9862543
27/05/2003,,,,,193.9862543
28/05/2003,,,,,193.9862543
29/05/2003,,,,,194.1580756
31/05/2003,,,15861.55237,,
02/06/2003,,,,,194.1580756
03/06/2003,,,,,194.32989691
04/06/2003,,,,,194.32989691
05/06/2003,,,,,194.32989691
06/06/2003,,,,,194.32989691
07/06/2003,,,15809.40013,,
09/06/2003,,,,,194.32989691
10/06/2003,,,,,194.32989691
11/06/2003,,,,,194.50171821
12/06/2003,,,,,194.50171821
